,Country,Year,MtCO2e
1178,Australia,2020,178.07092165892422
1179,Austria,2020,13.95679079780751
1180,Azerbaijan,2020,44.45777137114914
1181,Bahamas,2020,0.34709395916605595
1182,Bahrain,2020,5.057178525247806
1183,Bangladesh,2020,86.70902221367056
1184,Barbados,2020,2.15042166067116
1185,Belarus,2020,30.13783069895969
1186,Belgium,2020,19.31472462384331
1187,Belize,2020,10.289285941460086
1188,Benin,2020,13.560156559913812
1189,Bhutan,2020,1.1087331540507928
1190,Bolivia,2020,48.85085916034443
1191,Bosnia and Herzegovina,2020,6.802975813261277
1192,Botswana,2020,7.353275041855265
1193,Brazil,2020,727.2304579339652
1194,Brunei,2020,14.474108376400903
1195,Bulgaria,2020,15.656999628357498
1196,Burkina Faso,2020,22.626835629191508
1197,Burma,2020,162.588971642312
1198,Burundi,2020,42.73938261537464
1199,Cambodia,2020,24.130298410326976
1200,Cameroon,2020,83.5913103407044
1201,Canada,2020,204.564545501056
1202,Cape Verde,2020,0.40550047902146685
1203,Central African Republic,2020,94.14727405833952
1204,Chad,2020,41.3379063338195
1205,Chile,2020,25.54641665564932
1206,China,2020,1876.9452446064413
1207,Colombia,2020,116.9714923234857
1208,Comoros,2020,0.14254556250110473
1209,Congo (Brazzaville),2020,8.54235067402207
1210,Congo (Kinshasa),2020,172.34749158893214
1211,Cook Islands,2020,0.04246081151262178
1212,Costa Rica,2020,9.201709555707755
1213,Cote d'Ivoire,2020,56.158468785507964
1214,Croatia,2020,7.718033652766648
1215,Cuba,2020,30.251484188330984
1216,Cyprus,2020,1.193451524787736
1217,Czech Republic,2020,21.070882190935745
1218,Denmark,2020,11.324387097731012
1219,Djibouti,2020,0.8307887443768822
1220,Dominica,2020,0.0942787379171062
1221,Dominican Republic,2020,13.739475708920885
1222,Ecuador,2020,20.231547981007957
1223,Egypt,2020,89.40537157069932
1224,El Salvador,2020,7.409062076999521
1225,Equatorial Guinea,2020,16.375948442555046
1226,Eritrea,2020,6.078641768119232
1227,Estonia,2020,2.8566422897199284
1228,Ethiopia,2020,139.2897012499573
1229,Fiji,2020,1.006000823671807
1230,Finland,2020,15.02004632862931
1231,France,2020,161.18135346841484
1232,Gabon,2020,2.2222000736781427
1233,Gambia,2020,8.480399400317944
1234,Georgia,2020,8.27303318457845
1235,Germany,2020,114.8462097283127
1236,Ghana,2020,18.883987637305683
1237,Greece,2020,16.27623228156955
1238,Grenada,2020,1.7486559811260507
1239,Guatemala,2020,26.399504725889837
1240,Guinea,2020,19.846238855263227
1241,Guinea-Bissau,2020,2.134254571537531
1242,Guyana,2020,2.352933416446488
1243,Haiti,2020,6.511717274642831
1244,Holy See,2020,0.0003640443528448328
1245,Honduras,2020,13.164893971336122
1246,Hungary,2020,17.85495594973082
1247,Iceland,2020,1.1466786992706959
1248,India,2020,748.5853674377616
1249,Indonesia,2020,419.82027738805834
1250,Iran,2020,148.60832253910297
1251,Iraq,2020,175.35903979681126
1252,Ireland,2020,22.341097933470333
1253,Israel,2020,25.070510137010086
1254,Italy,2020,88.9684532946906
1255,Jamaica,2020,4.1102535827333115
1256,Japan,2020,121.95819370722033
1257,Jordan,2020,6.389564036192321
1258,Kazakhstan,2020,71.81065920589734
1259,Kenya,2020,38.86580989464241
1260,Kiribati,2020,0.021890658552461296
1261,Kuwait,2020,109.66694118081074
1262,Kyrgyzstan,2020,4.017647117865875
1263,Laos,2020,21.25186118341069
1264,Latvia,2020,4.8188245365012845
1265,Lebanon,2020,4.255193495524887
1266,Lesotho,2020,2.4810002049660755
1267,Liberia,2020,1.412664227322156
1268,Libya,2020,68.82423380152221
1269,Liechtenstein,2020,0.03743443633855571
1270,Lithuania,2020,8.40182363461831
1271,Luxembourg,2020,1.1421501067211464
1272,Macedonia,2020,4.829156564630088
1273,Madagascar,2020,51.407375177417066
1274,Malawi,2020,20.52960980893502
1275,Malaysia,2020,105.62091321517967
1276,Maldives,2020,0.10536100419669635
1277,Mali,2020,32.05013531809388
1278,Malta,2020,0.7526121961575579
1279,Marshall Islands,2020,0.04282698679390145
1280,Mauritania,2020,8.283586097323065
1281,Mauritius,2020,2.1421914918369627
1282,Mexico,2020,273.7655302384634
1283,Micronesia (Federated States of),2020,0.04173321350762719
1284,Moldova,2020,4.6864179630505856
1285,Monaco,2020,0.04778962573001706
1286,Mongolia,2020,23.53903610800459
1287,Montenegro,2020,1.216476637273422
1288,Morocco,2020,42.68217508153999
1289,Mozambique,2020,24.82478080604497
1290,Namibia,2020,13.79156630687035
1291,Nauru,2020,0.010885043590108851
1292,Nepal,2020,40.7996892981684
1293,Netherlands,2020,31.999856956995853
1294,New Zealand,2020,43.23039244991378
1295,Nicaragua,2020,14.782054234294673
1296,Niger,2020,22.653186212181176
1297,Nigeria,2020,274.64000097978334
1298,Niue,2020,0.2837002937830196
1299,North Korea,2020,34.683026858421194
1300,Norway,2020,10.863790587831112
1301,Oman,2020,37.66537000548177
1302,Pakistan,2020,184.47660508967644
1303,Palau,2020,0.9640671151549071
1304,Panama,2020,6.91946363811818
1305,Papua New Guinea,2020,8.406530638418284
1306,Paraguay,2020,40.639816122048146
1307,Peru,2020,38.49812022484721
1308,Philippines,2020,75.22177928852177
1309,Poland,2020,70.54639793249726
1310,Portugal,2020,20.06537556270856
1311,Qatar,2020,6.438540739088356
1312,Romania,2020,50.633557124109096
1313,Russia,2020,725.5754403040245
1314,Rwanda,2020,4.863537435901698
1315,Saint Kitts and Nevis,2020,0.12353536651838753
1316,Saint Lucia,2020,0.7461101368238575
1317,Saint Vincent and the Grenadines,2020,0.07180587477468206
1318,Samoa,2020,0.24334267585435063
1319,San Marino,2020,0.034636657060769925
1320,Sao Tome and Principe,2020,0.08377574102677642
1321,Saudi Arabia,2020,62.15156150653451
1322,Senegal,2020,17.89494659889827
1323,Serbia,2020,13.447533901203169
1324,Seychelles,2020,0.07440000281782572
1325,Sierra Leone,2020,5.238943262046688
1326,Singapore,2020,10.145288286450958
1327,Slovakia,2020,7.00443702417859
1328,Slovenia,2020,4.203806349032452
1329,Solomon Islands,2020,0.4176822169348024
1330,Somalia,2020,24.94869477321648
1331,South Africa,2020,95.12041620024713
1332,South Korea,2020,102.62752140374296
1333,Spain,2020,76.37673965951673
1334,Sri Lanka,2020,31.583708579206625
1335,Sudan,2020,165.2383054191182
1336,Suriname,2020,2.0510776828556883
1337,Swaziland,2020,1.9849463841784887
1338,Sweden,2020,13.377927821209736
1339,Switzerland,2020,8.842811388458028
1340,Syria,2020,38.292867084978866
1341,Tajikistan,2020,8.899009692566148
1342,Tanzania,2020,70.93596209251406
1343,Thailand,2020,105.82133297416156
1344,Timor-Leste,2020,1.4772355666308818
1345,Togo,2020,7.6740922593043
1346,Tonga,2020,0.23720117845822064
1347,Trinidad and Tobago,2020,1.6109779083149447
1348,Tunisia,2020,10.478607132757519
1349,Turkey,2020,96.9470656761987
1350,Turkmenistan,2020,53.22269335116558
1351,Tuvalu,2020,0.00916924284088997
1352,Uganda,2020,26.5505533308685
1353,Ukraine,2020,107.16631928758409
1354,United Arab Emirates,2020,39.93547805693948
1355,United Kingdom,2020,101.65225662218916
1356,United States,2020,1409.7915035726044
1357,Uruguay,2020,31.32949338305956
1358,Uzbekistan,2020,131.17566880919998
1359,Vanuatu,2020,0.5183052618377841
1360,Venezuela,2020,99.63002780327513
1361,Vietnam,2020,121.11335073980139
1362,Yemen,2020,10.395988643418992
1363,Zambia,2020,70.21033671863422
1364,Zimbabwe,2020,12.876539046582673
1365,Afghanistan,2025,25.368593826741254
1366,Albania,2025,2.911152146475855
1367,Algeria,2025,68.13928105363907
1368,Andorra,2025,0.06878434968048612
1369,Angola,2025,203.01447548314482
1370,Antigua and Barbuda,2025,1.2864252177236974
1371,Argentina,2025,213.19480097056046
1372,Armenia,2025,3.6171833803487274
1373,Australia,2025,188.1233862450475
1374,Austria,2025,14.46036962862985
1375,Azerbaijan,2025,46.46804297409614
1376,Bahamas,2025,0.41843992416569664
1377,Bahrain,2025,5.663788985483578
1378,Bangladesh,2025,97.10203936338928
1379,Barbados,2025,2.2341571998982754
1380,Belarus,2025,30.234626962688832
1381,Belgium,2025,20.365172577793945
1382,Belize,2025,11.167978925098874
1383,Benin,2025,14.322103215114538
1384,Bhutan,2025,1.209556577810369
1385,Bolivia,2025,50.125914101464915
1386,Bosnia and Herzegovina,2025,6.8266353338624395
1387,Botswana,2025,7.62722172142179
1388,Brazil,2025,745.1298435510234
1389,Brunei,2025,14.888988811270252
1390,Bulgaria,2025,16.046624769596587
1391,Burkina Faso,2025,24.75834738527802
1392,Burma,2025,168.8131610774269
1393,Burundi,2025,45.754637196119326
1394,Cambodia,2025,25.45264260842222
1395,Cameroon,2025,84.61281562026149
1396,Canada,2025,220.71670016915095
1397,Cape Verde,2025,0.4294457749144186
1398,Central African Republic,2025,96.99404350441492
1399,Chad,2025,43.043315402533445
1400,Chile,2025,27.664291567609894
1401,China,2025,2224.4954458886154
1402,Colombia,2025,123.02953420505625
1403,Comoros,2025,0.14515416364173842
1404,Congo (Brazzaville),2025,8.706501619430819
1405,Congo (Kinshasa),2025,174.76454022252128
1406,Cook Islands,2025,0.04542674936221333
1407,Costa Rica,2025,10.001014176043313
1408,Cote d'Ivoire,2025,59.42952694777149
1409,Croatia,2025,8.207293107661519
1410,Cuba,2025,33.55587420089225
1411,Cyprus,2025,1.4005137029079482
1412,Czech Republic,2025,21.8835511729645
1413,Denmark,2025,11.882649628263492
1414,Djibouti,2025,0.9762290422265717
1415,Dominica,2025,0.09834374058930503
1416,Dominican Republic,2025,14.997494573612212
1417,Ecuador,2025,21.509585555213423
1418,Egypt,2025,98.8204610794451
1419,El Salvador,2025,8.236442610709402
1420,Equatorial Guinea,2025,17.566645232224683
1421,Eritrea,2025,6.526228393608508
1422,Estonia,2025,2.882624113256426
1423,Ethiopia,2025,150.1574844053354
1424,Fiji,2025,1.1054172833020375
1425,Finland,2025,15.413219562571372
1426,France,2025,166.1724144050939
1427,Gabon,2025,2.3520650752809806
1428,Gambia,2025,9.296239722652139
1429,Georgia,2025,8.913435648573179
1430,Germany,2025,121.87780591891047
1431,Ghana,2025,19.96272712244394
1432,Greece,2025,15.98415212915833
1433,Grenada,2025,1.7829099041919059
1434,Guatemala,2025,28.04199721643536
1435,Guinea,2025,20.654589904048375
1436,Guinea-Bissau,2025,2.288176666437328
1437,Guyana,2025,2.4334623752227724
1438,Haiti,2025,7.2184365770051455
1439,Holy See,2025,0.0003961817068032192
1440,Honduras,2025,14.059164389430135
1441,Hungary,2025,18.75386488574334
1442,Iceland,2025,1.232297970003613
1443,India,2025,814.3670787521094
1444,Indonesia,2025,439.5903319772903
1445,Iran,2025,159.23328302712426
1446,Iraq,2025,192.3204889803389
1447,Ireland,2025,22.61201325363768
1448,Israel,2025,33.81996744863721
1449,Italy,2025,94.12529779499478
1450,Jamaica,2025,4.660802796447698
1451,Japan,2025,144.66668257406013
1452,Jordan,2025,7.468654973811974
1453,Kazakhstan,2025,74.8578149794171
1454,Kenya,2025,41.426419410369924
1455,Kiribati,2025,0.025966689079288098
1456,Kuwait,2025,117.66287773232024
1457,Kyrgyzstan,2025,4.278144541655296
1458,Laos,2025,21.921322746987588
1459,Latvia,2025,5.442825560042883
1460,Lebanon,2025,4.961432396231693
1461,Lesotho,2025,2.638059651985791
1462,Liberia,2025,1.6251150953387523
1463,Libya,2025,70.23877783895972
1464,Liechtenstein,2025,0.04018124504107766
1465,Lithuania,2025,9.071857797147498
1466,Luxembourg,2025,1.1849381468589515
1467,Macedonia,2025,5.823673454305617
1468,Madagascar,2025,53.47166530459959
1469,Malawi,2025,23.15147266175883
1470,Malaysia,2025,119.76285783231937
1471,Maldives,2025,0.14988063274427552
1472,Mali,2025,36.6196285711318
1473,Malta,2025,0.990678759970266
1474,Marshall Islands,2025,0.04989441247950629
1475,Mauritania,2025,8.991717866808338
1476,Mauritius,2025,2.3680520888694474
1477,Mexico,2025,294.1359991000231
1478,Micronesia (Federated States of),2025,0.05139622176658906
1479,Moldova,2025,4.927931816120344
1480,Monaco,2025,0.057705717539810214
1481,Mongolia,2025,29.90448300349134
1482,Montenegro,2025,1.3815782642703045
1483,Morocco,2025,45.82006681788644
1484,Mozambique,2025,25.410596839209596
1485,Namibia,2025,14.335964623427522
1486,Nauru,2025,0.01178113467532745
1487,Nepal,2025,45.43730797232642
1488,Netherlands,2025,33.50096866483901
1489,New Zealand,2025,45.2637373793592
1490,Nicaragua,2025,15.716107212076038
1491,Niger,2025,25.132262912697744
1492,Nigeria,2025,290.9085414643671
1493,Niue,2025,0.7733197231540182
1494,North Korea,2025,41.18555694847388
1495,Norway,2025,11.646066506548177
1496,Oman,2025,39.3857263999876
1497,Pakistan,2025,201.65107197352972
1498,Palau,2025,2.889378531374435
1499,Panama,2025,7.599978665847639
1500,Papua New Guinea,2025,8.734543472343098
1501,Paraguay,2025,43.20559540597069
1502,Peru,2025,41.38100551823525
1503,Philippines,2025,85.81361453595282
1504,Poland,2025,73.19936348910818
1505,Portugal,2025,20.40460282592354
1506,Qatar,2025,7.396522429949407
1507,Romania,2025,51.60060508081495
1508,Russia,2025,769.1878142115231
1509,Rwanda,2025,5.327997100191469
1510,Saint Kitts and Nevis,2025,0.1348896253201762
1511,Saint Lucia,2025,0.7691500835185041
1512,Saint Vincent and the Grenadines,2025,0.07568801870790887
1513,Samoa,2025,0.2527917343352902
1514,San Marino,2025,0.03758368245794877
1515,Sao Tome and Principe,2025,0.09202415967141712
1516,Saudi Arabia,2025,70.79165206017575
1517,Senegal,2025,19.265194542028745
1518,Serbia,2025,13.857206145987478
1519,Seychelles,2025,0.0792622532686379
1520,Sierra Leone,2025,5.851496456899477
1521,Singapore,2025,15.536219248225313
1522,Slovakia,2025,7.397394773704575
1523,Slovenia,2025,4.599793204474609
1524,Solomon Islands,2025,0.4654813346411164
1525,Somalia,2025,26.42675627415898
1526,South Africa,2025,108.94448187309304
1527,South Korea,2025,133.29721163435167
1528,Spain,2025,79.08721209885869
1529,Sri Lanka,2025,34.24677772381958
1530,Sudan,2025,173.5991644558033
1531,Suriname,2025,2.194357337044731
1532,Swaziland,2025,2.0966861655319478
1533,Sweden,2025,13.70197073690308
1534,Switzerland,2025,9.24319049300112
1535,Syria,2025,41.959209392775364
1536,Tajikistan,2025,9.514818233114276
1537,Tanzania,2025,72.91775363997476
1538,Thailand,2025,118.88803581133733
1539,Timor-Leste,2025,1.5323897068980714
1540,Togo,2025,8.250109187252743
1541,Tonga,2025,0.25211567500388965
1542,Trinidad and Tobago,2025,1.800866315454806
1543,Tunisia,2025,11.531589402773294
1544,Turkey,2025,103.78510948593289
1545,Turkmenistan,2025,55.2709614228576
1546,Tuvalu,2025,0.009854117878372686
1547,Uganda,2025,27.852298922776793
1548,Ukraine,2025,108.33719669743374
1549,United Arab Emirates,2025,43.733983222991576
1550,United Kingdom,2025,104.8029637220067
1551,United States,2025,1540.9070198347945
1552,Uruguay,2025,34.212612215494445
1553,Uzbekistan,2025,134.98642329420122
1554,Vanuatu,2025,0.5326173535065206
1555,Venezuela,2025,111.1411316204163
1556,Vietnam,2025,127.76243677078352
1557,Yemen,2025,12.210993306123974
1558,Zambia,2025,72.8474250415303
1559,Zimbabwe,2025,14.201980354808665
1560,Afghanistan,2030,28.213014682777242
1561,Albania,2030,2.9955611944604
1562,Algeria,2030,72.38006480106901
1563,Andorra,2030,0.0733153183875661
1564,Angola,2030,211.10563988659976
1565,Antigua and Barbuda,2030,1.561242297991774
1566,Argentina,2030,223.2213874229945
1567,Armenia,2030,3.880310263080384
1568,Australia,2030,197.50533482392302
1569,Austria,2030,14.735768783143989
1570,Azerbaijan,2030,49.18837560120687
1571,Bahamas,2030,0.4726811384164661
1572,Bahrain,2030,6.181436210269946
1573,Bangladesh,2030,109.21618546194499
1574,Barbados,2030,2.3002922437595315
1575,Belarus,2030,30.18709463414529
1576,Belgium,2030,21.613337650903905
1577,Belize,2030,12.007898348044371
1578,Benin,2030,15.098791272740735
1579,Bhutan,2030,1.3182412769003427
1580,Bolivia,2030,51.36462276947819
1581,Bosnia and Herzegovina,2030,6.853911845233212
1582,Botswana,2030,7.8733793019794565
1583,Brazil,2030,760.1280764393169
1584,Brunei,2030,15.833281023587572
1585,Bulgaria,2030,16.317578542290466
1586,Burkina Faso,2030,27.15752544288986
1587,Burma,2030,175.51777214248978
1588,Burundi,2030,49.59240749955813
1589,Cambodia,2030,26.935722199845284
1590,Cameroon,2030,85.62363024635567
1591,Canada,2030,233.5926417581831
1592,Cape Verde,2030,0.4601555521169231
1593,Central African Republic,2030,100.12879461894897
1594,Chad,2030,44.51111221724839
1595,Chile,2030,29.648277098263105
1596,China,2030,2644.7049663339963
1597,Colombia,2030,129.92702939082292
1598,Comoros,2030,0.14882224043887704
1599,Congo (Brazzaville),2030,8.872542550632655
1600,Congo (Kinshasa),2030,177.29686235039085
1601,Cook Islands,2030,0.048429836398270656
1602,Costa Rica,2030,10.66975209777355
1603,Cote d'Ivoire,2030,62.66758479145215
1604,Croatia,2030,8.541656617082
1605,Cuba,2030,36.693557850654486
1606,Cyprus,2030,1.662060901870349
1607,Czech Republic,2030,22.418603429127426
1608,Denmark,2030,12.069641138448175
1609,Djibouti,2030,1.1282442222819777
1610,Dominica,2030,0.10140455507906276
1611,Dominican Republic,2030,16.171986258323322
1612,Ecuador,2030,22.685678994690544
1613,Egypt,2030,107.38856368379172
1614,El Salvador,2030,8.9114240251313
1615,Equatorial Guinea,2030,18.209754813644487
1616,Eritrea,2030,6.997783505060691
1617,Estonia,2030,2.904606220153782
1618,Ethiopia,2030,161.3225691304203
1619,Fiji,2030,1.1975988192388418
1620,Finland,2030,15.70797146911169
1621,France,2030,169.0554444310091
1622,Gabon,2030,2.4899320164750267
1623,Gambia,2030,10.135678932185362
1624,Georgia,2030,9.388582956534691
1625,Germany,2030,130.63484156662727
1626,Ghana,2030,21.08385154220859
1627,Greece,2030,15.738253668184134
1628,Grenada,2030,1.8032329238497455
1629,Guatemala,2030,29.549708943945376
1630,Guinea,2030,21.601070609913016
1631,Guinea-Bissau,2030,2.451432476270137
1632,Guyana,2030,2.5103710269645427
1633,Haiti,2030,7.90409185247342
1634,Holy See,2030,0.00043169325506439655
1635,Honduras,2030,14.888233870477757
1636,Hungary,2030,19.304565291409094
1637,Iceland,2030,1.308267703231211
1638,India,2030,882.2586325898175
1639,Indonesia,2030,463.1442564892968
1640,Iran,2030,170.355802034337
1641,Iraq,2030,209.31969523729614
1642,Ireland,2030,22.743877616488778
1643,Israel,2030,39.878479228116646
1644,Italy,2030,98.36590450742968
1645,Jamaica,2030,5.065018316295989
1646,Japan,2030,165.48461642132833
1647,Jordan,2030,8.42945934224876
1648,Kazakhstan,2030,79.08809588223932
1649,Kenya,2030,44.06688948090021
1650,Kiribati,2030,0.030133973188568315
1651,Kuwait,2030,128.74016799206356
1652,Kyrgyzstan,2030,4.546315609054725
1653,Laos,2030,22.706132979412054
1654,Latvia,2030,5.897935848219589
1655,Lebanon,2030,5.5965221975819155
1656,Lesotho,2030,2.803521359215103
1657,Liberia,2030,1.8361569840621224
1658,Libya,2030,71.50562136611686
1659,Liechtenstein,2030,0.041818870020332376
1660,Lithuania,2030,9.548818522443193
1661,Luxembourg,2030,1.208524928146529
1662,Macedonia,2030,6.462535997726426
1663,Madagascar,2030,55.470738555801965
1664,Malawi,2030,26.61886975497128
1665,Malaysia,2030,137.27152560135625
1666,Maldives,2030,0.2041741449342719
1667,Mali,2030,42.651327094643136
1668,Malta,2030,1.1226877078985487
1669,Marshall Islands,2030,0.056811183752610406
1670,Mauritania,2030,9.775294849787006
1671,Mauritius,2030,2.5433115143754588
1672,Mexico,2030,312.6223347738472
1673,Micronesia (Federated States of),2030,0.06221732811839351
1674,Moldova,2030,5.054085068563357
1675,Monaco,2030,0.06364014075768587
1676,Mongolia,2030,38.78065601659113
1677,Montenegro,2030,1.5016764525198658
1678,Morocco,2030,49.11318685401685
1679,Mozambique,2030,26.025851946207865
1680,Namibia,2030,14.844185804993714
1681,Nauru,2030,0.012421121773803062
1682,Nepal,2030,50.87345903621286
1683,Netherlands,2030,35.14772983760435
1684,New Zealand,2030,47.34511307430294
1685,Nicaragua,2030,16.59301527757751
1686,Niger,2030,27.94207327167241
1687,Nigeria,2030,306.7965215608713
1688,Niue,2030,1.353807550215553
1689,North Korea,2030,47.88544617223017
1690,Norway,2030,12.721446855580943
1691,Oman,2030,38.48278329137862
1692,Pakistan,2030,220.4952499644296
1693,Palau,2030,5.167116479586514
1694,Panama,2030,8.188740345368242
1695,Papua New Guinea,2030,9.149936666260427
1696,Paraguay,2030,45.59373949484643
1697,Peru,2030,44.09567985273908
1698,Philippines,2030,96.31431330970634
1699,Poland,2030,79.59921539407748
1700,Portugal,2030,20.60999320561613
1701,Qatar,2030,8.384339820686725
1702,Romania,2030,52.62045923818285
1703,Russia,2030,805.0835514426946
1704,Rwanda,2030,5.818662689303889
1705,Saint Kitts and Nevis,2030,0.14408169408109883
1706,Saint Lucia,2030,0.7861226441011518
1707,Saint Vincent and the Grenadines,2030,0.07908940770160178
1708,Samoa,2030,0.26128934326301273
1709,San Marino,2030,0.04056243039048078
1710,Sao Tome and Principe,2030,0.10062016751368705
1711,Saudi Arabia,2030,79.1147433912936
1712,Senegal,2030,20.68796758034146
1713,Serbia,2030,14.177436328912064
1714,Seychelles,2030,0.0834843959276329
1715,Sierra Leone,2030,6.551422087996742
1716,Singapore,2030,22.762326399415354
1717,Slovakia,2030,7.660006841889094
1718,Slovenia,2030,4.857608309970831
1719,Solomon Islands,2030,0.514676788986664
1720,Somalia,2030,27.993784390060114
1721,South Africa,2030,119.0456429734886
1722,South Korea,2030,158.35187138327092
1723,Spain,2030,81.61963225059297
1724,Sri Lanka,2030,37.16851629779633
1725,Sudan,2030,180.9846135380681
1726,Suriname,2030,2.362440495289984
1727,Swaziland,2030,2.19514464537138
1728,Sweden,2030,13.818449706298125
1729,Switzerland,2030,9.520652479991519
1730,Syria,2030,44.299030344115835
1731,Tajikistan,2030,10.169626601933992
1732,Tanzania,2030,74.85511990784558
1733,Thailand,2030,132.28962981419662
1734,Timor-Leste,2030,1.5911512523506848
1735,Togo,2030,8.875243775218733
1736,Tonga,2030,0.26670333556323667
1737,Trinidad and Tobago,2030,1.9596869360974285
1738,Tunisia,2030,12.566624534749879
1739,Turkey,2030,110.08399342680521
1740,Turkmenistan,2030,57.63028920680068
1741,Tuvalu,2030,0.010401950583472878
1742,Uganda,2030,29.27557011895965
1743,Ukraine,2030,110.00912387263688
1744,United Arab Emirates,2030,47.642414019495675
1745,United Kingdom,2030,106.46437468580581
1746,United States,2030,1625.1779248959065
1747,Uruguay,2030,36.91217558730943
1748,Uzbekistan,2030,138.8509122921451
1749,Vanuatu,2030,0.5472280247661823
1750,Venezuela,2030,121.20651440514553
1751,Vietnam,2030,134.75516754891254
1752,Yemen,2030,14.148265689872577
1753,Zambia,2030,75.67985783408669
1754,Zimbabwe,2030,15.368993004338682
