Country Name,Country Code,UN Status,Time,Time Code,Access to Clean Fuels and Technologies for cooking (% of total population) [2.1_ACCESS.CFT.TOT],Access to electricity (% of rural population with access) [1.2_ACCESS.ELECTRICITY.RURAL],Access to electricity (% of total population) [1.1_ACCESS.ELECTRICITY.TOT],Access to electricity (% of urban population with access) [1.3_ACCESS.ELECTRICITY.URBAN],Energy intensity level of primary energy (MJ/2011 USD PPP) [6.1_PRIMARY.ENERGY.INTENSITY],Renewable electricity output (GWh) [4.1.2_REN.ELECTRICITY.OUTPUT],Renewable electricity share of total electricity output (%) [4.1_SHARE.RE.IN.ELECTRICITY],Renewable energy consumption (TJ) [3.1_RE.CONSUMPTION],Renewable energy share of TFEC (%) [2.1_SHARE.TOTAL.RE.IN.TFEC],Total electricity output (GWh) [4.1.1_TOTAL.ELECTRICITY.OUTPUT],Total final energy consumption (TFEC) (TJ) [1.1_TOTAL.FINAL.ENERGY.CONSUM]
United States,USA,Developed,2015,YR2015,100,100,100,100,5.40839254,568439,13.22859321,5097931,8.716935867,4297048,58483061.91
United Kingdom,GBR,Developed,2015,YR2015,100,100,100,100,3.017314468,83551,24.84005042,429157.5,8.711685574,336356,4926228.068
Belgium,BEL,Developed,2015,YR2015,100,100,100,100,4.741274111,14466,20.80002301,128345.2,9.201640531,69548,1394807.802
France,FRA,Developed,2015,YR2015,100,100,100,100,4.101853699,89357,15.85766663,760300.4,13.49926232,563494,5632162.574
Germany,DEU,Developed,2015,YR2015,100,100,100,100,3.603094155,187366,29.23177012,1183042,14.2062527,640967,8327614.785
Italy,ITA,Developed,2015,YR2015,100,100,100,100,3.072198971,108906,38.67922518,778697.1,16.51685058,281562,4714561.631
Luxembourg,LUX,Developed,2015,YR2015,100,100,100,100,2.872757905,431,32.38166792,13392.29,9.031313661,1331,148287.2869
Netherlands,NLD,Developed,2015,YR2015,100,100,100,100,3.936630335,13695,12.44208231,107380.2,5.889463079,110070,1823259.583
Denmark,DNK,Developed,2015,YR2015,100,100,100,100,2.606949617,18962,65.50592462,181410.8,33.17027717,28947,546907.7001
Ireland,IRL,Developed,2015,YR2015,100,100,100,100,1.94829341,7858,27.96540802,39051.66,9.081399013,28099,430018.1056
Greece,GRC,Developed,2015,YR2015,94.31,100,100,100,3.72312235,14850,28.65578326,112744.2,17.17004755,51822,656633.0099
Portugal,PRT,Developed,2015,YR2015,100,100,100,100,3.344354013,24372,47.52637429,169816.1,27.15729839,51281,625305.572
Spain,ESP,Developed,2015,YR2015,100,100,100,100,3.327359042,97088,34.94989057,513540.8,16.25409774,277792,3159454.362
Austria,AUT,Developed,2015,YR2015,100,100,100,100,3.608376708,47243,76.49077927,362355.8,34.39499175,61763,1053513.263
Finland,FIN,Developed,2015,YR2015,100,100,100,100,6.365684433,30525,44.49903057,418361.2,43.23526259,68597,967638.8553
Sweden,SWE,Developed,2015,YR2015,100,100,100,100,4.269061194,102442,63.26274771,679811.9,53.2477698,161931,1276695.536
Cyprus,CYP,Developed,2015,YR2015,100,100,100,100,3.274623243,398,8.780057357,5857.732,9.942066016,4533,58918.65926
Czech Republic,CZE,Developed,2015,YR2015,97.17,100,100,100,5.507708699,9422,11.40457054,142773.3,14.82856195,82616,962826.338
Estonia,EST,Other,2015,YR2015,92.61,100,100,100,6.317018358,1502,14.4187386,31570.59,27.47683347,10417,114898.9386
Hungary,HUN,Developed,2015,YR2015,100,100,100,100,4.318311506,3211,10.58269066,110073.3,15.55936205,30342,707440.9583
Latvia,LVA,Developed,2015,YR2015,95.05,100,100,100,3.914124071,2776,50.17169709,58759.11,38.09801717,5533,154231.4125
Malta,MLT,Other,2015,YR2015,100,100,100,100,1.808454095,100,7.674597084,1026.089,5.355004746,1303,19161.30888
Poland,POL,Developed,2015,YR2015,100,100,100,100,4.135685203,22683,13.80239867,302285.7,11.91148821,164341,2537766.018
Slovak Republic,SVK,Developed,2015,YR2015,96.72,100,100,100,4.478552766,6040,22.67948333,50516.66,13.40916822,26632,376732.2415
Slovenia,SVN,Developed,2015,YR2015,95.99,100,100,100,4.582203127,4355,29.39191469,40762.94,20.87739614,14817,195249.1571
Bulgaria,BGR,Developed,2015,YR2015,88.42,100,100,100,6.384174926,8768,17.988593,69034.96,17.65007793,48742,391131.1909
Romania,ROU,Developed,2015,YR2015,85.33,100,100,100,3.52,26202,39.7469737,211769.1,23.69779403,65922,893623.6838
Croatia,HRV,Developed,2015,YR2015,92.28,100,100,100,4.053076043,7510,66.82683752,89589.79,33.12746664,11238,270439.6053
Afghanistan,AFG,Other,2015,YR2015,30.1,64.2,71.5,92.5,2.457705002,889.5,86.05011125,25134.53,18.42347717,1033.7,136426.6353
Albania,ALB,Transition,2015,YR2015,75.37,100,100,100,2.886611482,5895,100,31555.45,38.61521047,5895,81717.66932
Algeria,DZA,Developing,2015,YR2015,92.7,98.68768253,99.33670807,99.60533142,4.132702365,222,0.322683799,833.6698,0.058958684,68798,1413989.835
American Samoa,ASM,Other,2015,YR2015,..,..,..,..,..,1.5,0.885478158,4.968064,0.885478202,169.4,561.06
Andorra,AND,Other,2015,YR2015,100,100,100,100,..,85.6,86.1167002,1642.52,19.74780863,99.4,8317.479833
Angola,AGO,Developing,2015,YR2015,47.36,7,42,64,3.605959068,5192,53.17492831,243771.1,49.56821033,9764,491789.1898
Anguilla,AIA,Other,2015,YR2015,..,..,100,100,..,0,0,1.827,0.112850434,94.3,1618.957
Antigua and Barbuda,ATG,Other,2015,YR2015,98.67,95.83648999,96.82629395,100,3.891629265,0,0,0,0,340,4701.1
Argentina,ARG,Developing,2015,YR2015,98.29,99.99520874,99.99520874,99.99520874,4.340101621,40791,28.14006912,239470.6,10.04007761,144957,2385146.9
Armenia,ARM,Transition,2015,YR2015,96.62,100,100,100,5.382442932,2210,28.33696628,13445.59,15.79200384,7799,85141.75997
Aruba,ABW,Other,2015,YR2015,..,91.85620644,95.23818207,100,3.324540924,138.4,14.85616144,437.772,6.726747566,931.6,6507.92966
Australia,AUS,Developed,2015,YR2015,100,100,100,100,5.031155464,34405,13.63784109,296838.1,9.18050296,252276,3233353.35
Azerbaijan,AZE,Transition,2015,YR2015,95.1,100,100,100,3.730140783,1738,7.039857421,7681.284,2.310757686,24688,332414.0842
"Bahamas, The",BHS,Other,2015,YR2015,100,100,100,99.87460327,4.033472108,0,0,310.333,1.210512884,2117,25636.48881
Bahrain,BHR,Developing,2015,YR2015,100,100,100,100,9.785209771,0,0,0,0,28484,191733.4593
Bangladesh,BGD,Developing,2015,YR2015,16.68,55.53002068,68.2046814,92.50717926,3.139805024,724,1.226889902,386058.6,34.74706901,59011,1111053.712
Barbados,BRB,Developing,2015,YR2015,99.41,100,100,100,3.78336014,0,0,315.0794,2.786358206,1029.29,11307.92873
Belarus,BLR,Transition,2015,YR2015,98.01,100,100,100,6.470068165,278,0.815679831,44549.43,6.770869532,34082,657957.2947
Belize,BLZ,Other,2015,YR2015,85.18,87.5,91.8,96.9,5.106705462,188.6302778,45.23993047,4279.87,35.0236296,416.9552778,12219.94993
Benin,BEN,Developing,2015,YR2015,6.06,17.2087338,40.03347778,69.14216614,9.07481537,19,5.555555556,76473.18,50.86261794,342,150352.426
Bermuda,BMU,Other,2015,YR2015,..,..,100,100,2.026266021,0,0,123.3681,2.359588007,674.3,5228.374598
Bhutan,BTN,Other,2015,YR2015,51.75,97.43246373,98.42352295,99.99705505,10.40792258,7747.154,99.99354643,54615.38,86.90454832,7747.654,62845.24925
Bolivia,BOL,Developing,2015,YR2015,62.55,74.953562,91.522822,99.46435,4.948243093,2678,31.40243902,48839.15,17.53818183,8528,278473.279
Bosnia and Herzegovina,BIH,Transition,2015,YR2015,62.22,100,100,100,8.723512471,5551,35.51730757,73353.16,40.75006023,15629,180007.4885
Botswana,BWA,Developing,2015,YR2015,63.15,36.04331683,58.52875137,75.18654633,3.351028055,1,0.033704078,23155.78,28.87982699,2967,80179.77395
Brazil,BRA,Developing,2015,YR2015,95.38,98.242607,99.710902,99.956197,4.130221394,430230,73.96690805,3887176,43.7903892,581652,8876778.835
British Virgin Islands,VGB,Other,2015,YR2015,..,..,..,..,..,1.72,1.286269818,18.58448,1.229135669,133.72,1511.995825
Brunei Darussalam,BRN,Developing,2015,YR2015,100,100,100,100,3.6522582,2,0.047619048,5.814209,0.014935036,4200,38929.99684
Burkina Faso,BFA,Developing,2015,YR2015,8.46,1.025499865,18.47008133,59.44869614,6.03244507,93.462,9.354038684,108923.9,74.16718786,999.162,146862.6533
Burundi,BDI,Developing,2015,YR2015,0.83,1.417148343,7.2520895,49.81178284,7.722184375,137.286,82.70938513,49456.45,95.67892425,165.986,51690.01469
Cambodia,KHM,Other,2015,YR2015,16.36,34.12568536,47.56573868,98.98140717,5.769537723,2041,46.41801228,159807,64.92377591,4397,246145.5726
Cameroon,CMR,Developing,2015,YR2015,21.98,20.65606142,58.86510086,90.91780853,4.777529662,5144,76.11719444,217574.9,76.53840041,6758,284268.9406
Canada,CAN,Developed,2015,YR2015,100,100,100,100,7.341491418,422643,63.01145004,1587094,22.02535921,670740,7205757.622
Cape Verde,CPV,Other,2015,YR2015,70.63,86.44994333,90.24390411,92.23994446,2.772725823,85.1,20.20849659,1727.543,26.5797159,421.11,6499.4788
Cayman Islands,CYM,Other,2015,YR2015,..,..,100,100,..,0,0,0,0,639.86,4692.328375
Central African Republic,CAF,Developing,2015,YR2015,0.92,0.389227244,13.38442326,32.84719467,8.103724765,170,99.41520468,13517.51,76.56702001,171,17654.481
Chad,TCD,Developing,2015,YR2015,3.13,0.7,7.7,32.4,2.78131878,0,0,59316.84,89.35739557,228,66381.56766
Channel Islands,CHI,Other,2015,YR2015,..,100,100,100,..,0,0,0,..,..,0
Chile,CHL,Developing,2015,YR2015,92,98.633515,99.714844,99.876858,3.776851218,32872,43.60433496,259606.8,24.88255427,75387,1043328.579
China,CHN,Developing,2015,YR2015,58.54,100,100,100,6.690069702,1398321,23.92681717,9084482,12.41335257,5844158,73183146.53
Colombia,COL,Developing,2015,YR2015,91.29,92.455997,98.186898,99.809718,2.258013702,47095,68.23681122,251833.9,23.56475752,69017,1068688.697
Comoros,COM,Developing,2015,YR2015,8.15,69.49245521,75.38071442,90.30195618,4.691372991,0,0,1607.804,45.33305239,41.9,3546.64845
"Congo, Dem. Rep.",COD,Developing,2015,YR2015,3.94,..,16.41916466,45.64467239,20.937,8926,99.82106911,862513.8,95.81769971,8942,900161.2464
"Congo, Rep.",COG,Developing,2015,YR2015,22.74,22.7,60.4,79.5,4.01614201,925,53.34486736,53145.05,62.40211902,1734,85165.45726
Cook Islands,COK,Other,2015,YR2015,84.54,100,99.97758484,99.85910034,..,2.4,8.163265306,0,0,29.4,693.62
Costa Rica,CRI,Developing,2015,YR2015,93.2,98.641978,99.409804,99.929925,2.878981863,10704,99.00110988,58767.05,38.73341388,10812,151721.8446
Cote d'Ivoire,CIV,Developing,2015,YR2015,17.96,29.99011916,64.0861969,92.92123413,7.235900982,1457,16.72597865,182270.8,64.52802565,8711,282467.6536
Cuba,CUB,Developing,2015,YR2015,79.04,100,100,100,2.107222144,801,3.948146688,57732.18,19.28132064,20288,299420.258
Curacao,CUW,Other,2015,YR2015,..,100,100,100,..,32,3.712296984,85.94772,0.347766268,862,24714.21985
Djibouti,DJI,Developing,2015,YR2015,10.89,2.013218398,52.02577591,66.67652893,3.411896622,0,0,760.8995,15.38059522,405,4947.13949
Dominica,DMA,Other,2015,YR2015,90.06,99.90296936,99.90296936,99.90296936,3.608517112,24.44,16.17578926,117.062,7.82979664,151.09,1495.08353
Dominican Republic,DOM,Developing,2015,YR2015,89.93,95.912364,98.560364,99.827251,2.452040245,2147,11.63244298,37352.98,16.48010921,18457,226654.9301
Ecuador,ECU,Developing,2015,YR2015,95.24,96.398108,98.825883,99.869408,3.623227326,13639,52.80294232,68348.95,13.81668594,25830,494684.1108
"Egypt, Arab Rep.",EGY,Developing,2015,YR2015,97.31,100,100,99.99904633,3.51107011,15030,8.259285514,119103.6,5.709377265,181977,2086104.92
El Salvador,SLV,Developing,2015,YR2015,84.71,90.6,95.4,98,3.649268953,3463,57.8226749,25172.23,24.40076999,5989,103161.6216
Equatorial Guinea,GNQ,Developing,2015,YR2015,34,51.79440269,67.47374725,91.06832886,2.214436859,543,57.82747604,5277.3,7.822799777,939,67460.502
Eritrea,ERI,Developing,2015,YR2015,15.6,37.73939653,45.51332092,74.83933258,4.828972556,2,0.492610837,18744.96,79.7674723,406,23499.50357
Ethiopia,ETH,Developing,2015,YR2015,3.4,20.18473012,33.41859055,88.14826965,13.66926417,10433,99.96167481,1574274,92.16346114,10437,1708132.464
Faeroe Islands,FRO,Other,2015,YR2015,..,100,100,100,..,188.87,60.07143561,623.2519,7.513580492,314.409,8295.0053
Falkland Islands,FLK,Other,2015,YR2015,..,..,..,..,..,5.69,32.23796034,26.28797,3.888827916,17.65,675.98697
Fiji,FJI,Other,2015,YR2015,39.16,95.3480766,97.11949158,98.64508057,4.853864716,411.623,45.01588482,7491.43,31.26394709,914.395,23961.88165
French Guyana,GUF,Other,2015,YR2015,..,..,..,..,..,546,59.15492958,2928.832,32.43836398,923,9028.91404
French Polynesia,PYF,Other,2015,YR2015,..,100,100,100,..,229.69,32.01209739,766.2069,9.829154767,717.51,7795.24708
Gabon,GAB,Developing,2015,YR2015,78.13,49.78388998,90.30747223,96.27935791,6.536376969,930,43.74412041,162175.4,82.00784369,2126,197755.9618
"Gambia, The",GMB,Developing,2015,YR2015,3.23,14.94064073,46.48666382,67.84182739,4.498080953,0,0,5257.01,51.50886249,283.8,10206.03008
Georgia,GEO,Transition,2015,YR2015,76.36,99.98825604,99.99349976,99.99803162,5.780135919,8454,78.03932429,45194.73,28.66253881,10833,157678.7399
Ghana,GHA,Other,2015,YR2015,20.37,60.28639459,75.71527863,88.8361969,3.745240322,5848,50.89200244,117256,41.41279431,11491,283139.5513
Gibraltar,GIB,Other,2015,YR2015,..,..,100,100,..,0,0,0,0,207,6422.718672
Greenland,GRL,Other,2015,YR2015,..,100,100,100,..,422.8573,81.29152578,1239.809,15.53381651,520.1739,7981.35474
Grenada,GRD,Other,2015,YR2015,96.5,91.87168884,91.87168884,91.87168884,2.971628839,0,0,314.0524,10.91957215,206.96,2876.050414
Guadeloupe,GLP,Other,2015,YR2015,..,..,..,..,..,257.3,14.44937384,869.1707,4.682855198,1780.7,18560.6999
Guam,GUM,Other,2015,YR2015,..,100,100,100,..,0,0,0,0,1730.6,5619.6
Guatemala,GTM,Developing,2015,YR2015,45.06,84.12952703,90.50629425,96.49455261,4.483455863,6678,60.39066739,273673.4,63.65099179,11058,429959.3648
Guinea,GIN,Developing,2015,YR2015,1.24,2.385447769,30.96315193,79.28784943,10.61603851,880.6,78.75156502,105240.5,76.26839132,1118.2,137987.0457
Guinea-Bissau,GNB,Developing,2015,YR2015,1.46,..,14.00467014,29.31495667,12.01927215,0,0,23673.55,86.85179394,36.35,27257.4105
Guyana,GUY,Developing,2015,YR2015,72.59,81.02419963,83.56835175,89.93447113,6.36286668,0,0,6723.647,25.25872772,1039.03,26619.104
Haiti,HTI,Developing,2015,YR2015,4.27,..,38.22112656,65.58364868,10.11189212,83,7.996146435,103983.6,76.07221323,1038,136690.6464
Honduras,HND,Developing,2015,YR2015,51.87,78.313718,89.98171,98.897656,6.152413251,3790,42.2755159,102277.9,51.53741358,8965,198453.692
"Hong Kong SAR, China",HKG,Developing,2015,YR2015,..,..,100,100,1.488085793,106,0.278727321,3173.745,0.852783452,38030,372163.061
Iceland,ISL,Developed,2015,YR2015,100,100,100,100,16.5574956,18795,99.97872227,91392.87,77.02968921,18799,118646.292
India,IND,Developing,2015,YR2015,39.88,83.2,88,97.5,4.730910449,212195,15.34305035,8011645,36.02122257,1383004,22241457.76
Indonesia,IDN,Developing,2015,YR2015,56.49,95.22907841,97.53736744,99.83139359,3.525222674,24922,10.65115563,2402254,36.8793481,233984,6513819.044
